"","Team","Nominal_Salary","Adj_Salary","Year"
"898","Indiana",112872260,113601104,"2019"
"899","Chicago",112601901,113328998,"2019"
"900","San Antonio",112390794,113116530,"2019"
"901","Detroit",104527576,105202536,"2019"
"902","New York",100232129,100879351,"2019"
"903","Phoenix",98539675,99175970,"2019"
"904","Memphis",98495848,99131862,"2019"
"905","Charlotte",96552033,97175492,"2019"
"906","Atlanta",85600106,86152846,"2019"
"908","Golden State",170467299,170467299,"2020"
"909","Brooklyn",168454861,168454861,"2020"
"910","Philadelphia",147225841,147225841,"2020"
"911","LA Clippers",138428491,138428491,"2020"
"912","LA Lakers",138326578,138326578,"2020"
"913","Utah",136048278,136048278,"2020"
"914","Milwaukee",135289205,135289205,"2020"
"915","Miami",134303159,134303159,"2020"
"916","New Orleans",133689123,133689123,"2020"
"917","Boston",132032864,132032864,"2020"
"918","Memphis",131564083,131564083,"2020"
"919","Houston",131391287,131391287,"2020"
"920","Portland",131297092,131297092,"2020"
"921","Washington",131265055,131265055,"2020"
"922","Minnesota",130280289,130280289,"2020"
"923","Indiana",129309792,129309792,"2020"
"924","Denver",129177942,129177942,"2020"
"925","Chicago",128963580,128963580,"2020"
"926","Phoenix",128858241,128858241,"2020"
"927","Cleveland",128530123,128530123,"2020"
"928","Toronto",128116079,128116079,"2020"
"929","San Antonio",127903078,127903078,"2020"
"930","Dallas",127507823,127507823,"2020"
"931","Orlando",121651624,121651624,"2020"
"932","Atlanta",118647039,118647039,"2020"
"933","Detroit",116973878,116973878,"2020"
"934","Charlotte",108218809,108218809,"2020"
"935","Sacramento",107279319,107279319,"2020"
"936","New York",97454785,97454785,"2020"
"937","Oklahoma City",91359376,91359376,"2020"
